date,security,price
2023-02-01,5b70a7f4-1978-4e1f-820f-5684230521cc,998
2023-02-01,3bb7355a-efe6-440e-84be-eee7cac73ba2,718
2023-02-01,afc803dc-c919-4bb1-b35d-d506f460cfe4,1100
2023-02-02,5b70a7f4-1978-4e1f-820f-5684230521cc,998
2023-02-02,3bb7355a-efe6-440e-84be-eee7cac73ba2,762
2023-02-02,afc803dc-c919-4bb1-b35d-d506f460cfe4,1156
2023-02-03,5b70a7f4-1978-4e1f-820f-5684230521cc,998
2023-02-03,3bb7355a-efe6-440e-84be-eee7cac73ba2,762
2023-02-03,afc803dc-c919-4bb1-b35d-d506f460cfe4,1156
2023-02-04,5b70a7f4-1978-4e1f-820f-5684230521cc,998
2023-02-04,3bb7355a-efe6-440e-84be-eee7cac73ba2,762
2023-02-04,afc803dc-c919-4bb1-b35d-d506f460cfe4,1156
2023-02-05,5b70a7f4-1978-4e1f-820f-5684230521cc,998
2023-02-05,3bb7355a-efe6-440e-84be-eee7cac73ba2,762
2023-02-05,afc803dc-c919-4bb1-b35d-d506f460cfe4,1156
2023-02-06,5b70a7f4-1978-4e1f-820f-5684230521cc,997
2023-02-06,3bb7355a-efe6-440e-84be-eee7cac73ba2,699
2023-02-06,afc803dc-c919-4bb1-b35d-d506f460cfe4,1155
2023-02-07,5b70a7f4-1978-4e1f-820f-5684230521cc,998
2023-02-07,3bb7355a-efe6-440e-84be-eee7cac73ba2,700
2023-02-07,afc803dc-c919-4bb1-b35d-d506f460cfe4,1156
2023-02-08,5b70a7f4-1978-4e1f-820f-5684230521cc,998
2023-02-08,3bb7355a-efe6-440e-84be-eee7cac73ba2,700
2023-02-08,afc803dc-c919-4bb1-b35d-d506f460cfe4,1156
2023-02-09,5b70a7f4-1978-4e1f-820f-5684230521cc,999
2023-02-09,3bb7355a-efe6-440e-84be-eee7cac73ba2,701
2023-02-09,afc803dc-c919-4bb1-b35d-d506f460cfe4,1157
2023-02-10,5b70a7f4-1978-4e1f-820f-5684230521cc,1000
2023-02-10,3bb7355a-efe6-440e-84be-eee7cac73ba2,701
2023-02-10,afc803dc-c919-4bb1-b35d-d506f460cfe4,1159
2023-02-11,5b70a7f4-1978-4e1f-820f-5684230521cc,1001
2023-02-11,3bb7355a-efe6-440e-84be-eee7cac73ba2,702
2023-02-11,afc803dc-c919-4bb1-b35d-d506f460cfe4,1160
2023-02-12,5b70a7f4-1978-4e1f-820f-5684230521cc,1001
2023-02-12,3bb7355a-efe6-440e-84be-eee7cac73ba2,702
2023-02-12,afc803dc-c919-4bb1-b35d-d506f460cfe4,1160
2023-02-13,5b70a7f4-1978-4e1f-820f-5684230521cc,1002
2023-02-13,3bb7355a-efe6-440e-84be-eee7cac73ba2,703
2023-02-13,afc803dc-c919-4bb1-b35d-d506f460cfe4,1161
2023-02-14,5b70a7f4-1978-4e1f-820f-5684230521cc,1005
2023-02-14,3bb7355a-efe6-440e-84be-eee7cac73ba2,705
2023-02-14,afc803dc-c919-4bb1-b35d-d506f460cfe4,1164
2023-02-15,5b70a7f4-1978-4e1f-820f-5684230521cc,1004
